title,genre,released_year,artist,produced_by,song_cover,song_link
Yearo,AfroBeats,2023,Ty Fire x Comprych,Chawa Beats,https://da70jmtbwpiws.cloudfront.net/Ty Fire x Comprych Yearo.jpg,https://da70jmtbwpiws.cloudfront.net/Ty Fire x Comprych - Yearo (Prod by Chawa Beats).mp3
Mbambande,Trap,2023,Gvstavo,Big Jay,https://da70jmtbwpiws.cloudfront.net/Gvstavo Gang Mbambande.jpg,https://da70jmtbwpiws.cloudfront.net/Gvstavo - Mbambande (Prod by Big Jay).mp3
Tsogolo,Trap Dancehall,2023,Queesy,Mcee & Crux,https://da70jmtbwpiws.cloudfront.net/Quessy Tsogolo-min.jpg,https://da70jmtbwpiws.cloudfront.net/Queesy - Tsogolo (Prod by Mcee & Crux).mp3
The Other Side,Fussion,2023,Desert Igwe,Desert Igwe,https://da70jmtbwpiws.cloudfront.net/Desert Igwe The Other Side.jpg,https://da70jmtbwpiws.cloudfront.net/Desert Igwe - The Other Side (Prod by Desert Igwe).mp3
Kuche Kuche,Amapiano,2023,Spyral Mwenya feat VJ Ice & Africa The DJ,Gusto & ZeroOneFive,https://da70jmtbwpiws.cloudfront.net/Spyral Mwenya feat VJ Ice & Africa The DJ Kuche Kuche.jpg,https://da70jmtbwpiws.cloudfront.net/Spyral Mwenya feat VJ Ice & Africa The DJ - Kuche Kuche (Prod by Gusto & ZeroOneFive).mp3
Nena,AfroBeats,2023,R Jai ,Fadoum,https://da70jmtbwpiws.cloudfront.net/R Jai Nena-min.jpg,https://da70jmtbwpiws.cloudfront.net/R Jai - Nena (Prod by Fadoum).mp3
Uzisiya Wekha,Amapiano,2023,"Tonicity, ChuxTpat$ePlan feat Phrey Willz & Eustice",Toni City,https://da70jmtbwpiws.cloudfront.net/ChuxTpat$ePlan feat Phrey Willz & Eustice Uzisiya.jpg,https://da70jmtbwpiws.cloudfront.net/ChuxTpat$ePlan feat Phrey Willz & Eustice - Uzisiya Wekha (Prod by Toni City).mp3
Yabaya,Afro,2023,Eli Njuchi feat Yo Maps,"Tricky Beats, J Mas & Sispence",https://da70jmtbwpiws.cloudfront.net/Eli Njuchi feat Yo Maps Yabaya.png,"https://da70jmtbwpiws.cloudfront.net/Eli Njuchi feat Yo Maps - Yabaya (Prod by Tricky Beats, J Mas & Sispence).mp3"
Motumbwa,Hip-Hop,2023,Same Cris,Gonos,https://da70jmtbwpiws.cloudfront.net/Same Cris Motumbwa.jpg,https://da70jmtbwpiws.cloudfront.net/Same Cris - Motumbwa (Prod by Gonos).mp3
Strong'ong'o,Afrobeats,2023,Zamau,Dynamo & Higrammes,https://da70jmtbwpiws.cloudfront.net/Zamau Strong'ong'o.jpg,https://da70jmtbwpiws.cloudfront.net/Zamau - Strong'ong'o (Prod by Dynamo & Higrammes).mp3
BBC Remix,HipHop,2023,Henry Czar feat Zonke x Ace Jizzy x Bee Jay x Em Zibry,DJ Brown,https://da70jmtbwpiws.cloudfront.net/Henry Czar x Zonke x Ace Jizzy x Bee Jay x Em Zibry BBC Remix.jpg,https://da70jmtbwpiws.cloudfront.net/Henry Czar feat Zonke x Ace Jizzy x Bee Jay x Em Zibry - BBC Remix (Prod by DJ Brown).mp3
Zikuti Bwanji,AfroBeat,2023,Tygon Lessah,Tygon,https://da70jmtbwpiws.cloudfront.net/Tygon Lessah Zikuti-min.jpg,https://da70jmtbwpiws.cloudfront.net/Tygon Lessah - Zikuti Bwanji (Prod by Tygon).mp3
Ngini,Afro Dancehall,2023,Chibelekelo,DJ Langie,https://da70jmtbwpiws.cloudfront.net/Chibelekelo Ngini.jpg,https://da70jmtbwpiws.cloudfront.net/Chibelekelo - Ngini (Prod by DJ Langie).mp3
With,Afro Dancehall,2023,Finah Mapira,Dj OK,https://da70jmtbwpiws.cloudfront.net/Finah Mapira With.jpg,https://da70jmtbwpiws.cloudfront.net/Finah Mapira - With (Prod by DJ OK).mp3
Kwacha,Afro Pop,2023,Joe Kellz,Sispence,https://da70jmtbwpiws.cloudfront.net/Joe Kellz Kwacha.jpg,https://da70jmtbwpiws.cloudfront.net/Joe Kellz - Kwacha (Prod by Sispence).mp3
G.O.A.T,DanceHall,2023,Lazy B,M Cee & Mexy Beats,https://da70jmtbwpiws.cloudfront.net/Lazy B G.O.A.T-min.jpg,https://da70jmtbwpiws.cloudfront.net/Lazy B - G.O.A.T (Prod by M Cee & Mexy Beats).mp3
Faya,Afro Dancehall,2023,Jay Jay Cee feat. Bunny,Zephy Oldies,https://da70jmtbwpiws.cloudfront.net/Jay Jay Cee featuring Bunny Faya-min.jpg,https://da70jmtbwpiws.cloudfront.net/Jay Jay Cee featuring Bunny - Faya (Prod by Zephy Oldies).mp3
Palibe,Afro Dancehall,2023,Dada Morer ,,https://da70jmtbwpiws.cloudfront.net/Dada Morer Palibe.jpg,https://da70jmtbwpiws.cloudfront.net/Dada Morer - Palibe (Prod by S Nay).mp3
Runaway,Afro Pop,2023,Zacio Mw , DK Media House,https://da70jmtbwpiws.cloudfront.net/Zacio Mw Runaway.jpg,https://da70jmtbwpiws.cloudfront.net/Zacio Mw - Runaway (Prod by DK Media House).mp3
Ukanandiziwa Kaye,AfroBeats,2023,Guntolah,Jeydak,https://da70jmtbwpiws.cloudfront.net/Guntolah Ukanandiziwa Kaye-min.jpg,https://da70jmtbwpiws.cloudfront.net/Guntolah - Ukanandiziwa Kaye (Prod by Jeydak).mp3
 Last Option,Dancehall,2023,Captain Shaka feat Kay Stevoh,Big Dawg,https://da70jmtbwpiws.cloudfront.net/Captain Shaka feat Kay Stevoh Last Option.jpg,https://da70jmtbwpiws.cloudfront.net/Captain Shaka feat Kay Stevoh Last Option.jpg
Macheza,Trap,2023,Mic Mash,Mic Mash,https://da70jmtbwpiws.cloudfront.net/Mic Mash Macheza.jpg,https://da70jmtbwpiws.cloudfront.net/Mic Mash - Macheza.mp3
Mupangeni Post,Drill,2023,Heji Mw feat Mwanache & Yashie The Kid,STML & Viun,https://da70jmtbwpiws.cloudfront.net/Heji Mw feat Mwanache & Yashie The Kid Mupangeni Post.jpg,https://da70jmtbwpiws.cloudfront.net/Heji Mw feat Mwanache & Yashie The Kid - Mupangeni Post (Prod by STML & Viun).mp3
Fast Fast,HipHop,2023,Ace Jizzy & Bee Jay,BFB & Daredevilz,https://da70jmtbwpiws.cloudfront.net/Ace Jizzy & Bee Jay Fast Fast.jpg,https://da70jmtbwpiws.cloudfront.net/Ace Jizzy & Bee Jay - Fast Fast (Prod by BFB & Daredevilz).mp3
Only You,Dancehall,2023,Eustice,Bensam Entertainment,https://da70jmtbwpiws.cloudfront.net/Eustice Only You.jpg,https://da70jmtbwpiws.cloudfront.net/Eustice - Only You.mp3
Ndanzanga,House,2023,Starnel Mon,Starnel Mon,https://da70jmtbwpiws.cloudfront.net/Starnel Mon Ndanzanga.png,https://da70jmtbwpiws.cloudfront.net/Starnel Mon - Ndanzanga (Prod by Starnel Mon).mp3
Zikomo ,Afro Dancehall,2023,Kapadocia,Macia,https://da70jmtbwpiws.cloudfront.net/Kapadocia Zikomo.jpg,https://da70jmtbwpiws.cloudfront.net/Kapadocia - Zikomo (Prod by Macia).mp3
Ii oo!!,Trap,2023,HyCee,Dynamo,https://da70jmtbwpiws.cloudfront.net/Hycee Ii oo!!.jpg,https://da70jmtbwpiws.cloudfront.net/HyCee - Ii oo!! (Prod by Dynamo).mp3
Tumeni,Amapiano,2023,Temwah featuring Tuksin SA,Unknown,https://da70jmtbwpiws.cloudfront.net/Temwah featuring Tuksin SA Tumeni.jpg,https://da70jmtbwpiws.cloudfront.net/Temwah featuring Tuksin SA - Tumeni.mp3
Level Pa Level,Amapiano,2023,Luv C, C-Kay & Noxy,https://da70jmtbwpiws.cloudfront.net/Luv C Level Pa Level.jpg,https://da70jmtbwpiws.cloudfront.net/Luv C - Level Pa Level (Prod by C-Kay & Noxy).mp3
Mission,HipHop,2023,King Tuzi feat. Quest,Trappy Beats,https://da70jmtbwpiws.cloudfront.net/King Tuzi feat Quest Mission.jpg,https://da70jmtbwpiws.cloudfront.net/King Tuzi feat Quest - Mission (Prod by Trappy Beats).mp3
 Usamasilire,AfroBeats,2023,Max Ngwana,Viddiex Fyah & Tyro,https://da70jmtbwpiws.cloudfront.net/Max Ngwana Usamasilire.jpg,https://da70jmtbwpiws.cloudfront.net/Max Ngwana - Usamasilire (Prod by Viddiex Fyah & Tyro).mp3
Ndalama (Remix),Amapiano,2023,Trappy Beats feat Quest & Zeze Kingston ,Trappy Beats,https://da70jmtbwpiws.cloudfront.net/Trappy Beats Ndalama.jpg,https://da70jmtbwpiws.cloudfront.net/Trappy Beats feat Quest & Zeze Kingston - Ndalama (Remix).mp3
Top Skanka,Dancehall,2023,Ah Shatter feat Chargie ,G.I.B Records,https://da70jmtbwpiws.cloudfront.net/Ah Shatter feat Chargie Top Skanka-min.jpg,https://da70jmtbwpiws.cloudfront.net/Ah Shatter feat Chargie - Top Skanka (Prod by G.I.B Records).mp3
Tilimakola,Afro/Dancehall,2023,C-Wimz feat Oskanjo & Lazy B,Ley C & MCee,https://da70jmtbwpiws.cloudfront.net/C-Wimz feat Oskanjo & Lazy B Tilimakola-min.jpg,https://da70jmtbwpiws.cloudfront.net/C-Wimz feat Oskanjo & Lazy B - Tilimakola (Prod by Ley C & MCee).mp3
Ufulu,AfroBeats,2023,Wakisa James,Kenlo & Nyanda,https://da70jmtbwpiws.cloudfront.net/Wakisa James Ufulu.jpg,https://da70jmtbwpiws.cloudfront.net/Wakisa James - Ufulu (Prod by Kenlo & Nyanda).mp3
