title,genre,released_year,artist,produced_by,song_cover,song_link
Young & Free,Afro Dancehall,2023,Sean Morgan,Cuff-B,https://da70jmtbwpiws.cloudfront.net/Sean Morgan Young & Free.jpg,https://da70jmtbwpiws.cloudfront.net/Sean Morgan - Young & Free (Prod by Cuff-B).mp3
Kusangalala,Amapiano,2023,Zeze Kingston x Leumas,Leumas,https://da70jmtbwpiws.cloudfront.net/Zeze Kingston x Leumas Kusangalala.jpg,https://da70jmtbwpiws.cloudfront.net/Zeze Kingston x Leumas - Kusangalala.mp3
Zopusa,Hiphop,2023,Third Eye & Martin Anjelz,Martin Anjelz,https://da70jmtbwpiws.cloudfront.net/Third Eye & Martin Anjelz Zopusa.jpg,https://da70jmtbwpiws.cloudfront.net/Third Eye & Martin Anjelz - Zopusa.mp3
Love Me For Life,Afro-Dancehall,2023,Ben Sam Entertainment feat Tsar Leo x Malinga x Blasto,Tricky Beats & King Duda,https://da70jmtbwpiws.cloudfront.net/Ben Sam Entertainment feat Tsar Leo x Malinga x Blasto Love Me For Life.jpg,https://da70jmtbwpiws.cloudfront.net/Ben Sam Entertainment feat Tsar Leo x Malinga x Blasto - Love Me For Life (Prod by Tricky Beats & King Duda).mp3
Ndibweza,Dancehall,2023,Chizmo Sting, Zupah & Radar,https://da70jmtbwpiws.cloudfront.net/Chizmo Sting Ndibweza-min.jpg,https://da70jmtbwpiws.cloudfront.net/Chizmo Sting - Ndibweza (Prod by Zupah & Radar).mp3
Wash & Wear ,Dancehall,2023,Veda Njucci ,Uchie,https://da70jmtbwpiws.cloudfront.net/Veda Njucci Wash & Wear.jpg,https://da70jmtbwpiws.cloudfront.net/Veda Njucci - Wash & Wear (Prod by Uchie).mp3
Anthem,Hiphop,2023,Charisma & Quest,Unknown,https://da70jmtbwpiws.cloudfront.net/Charisma x Quest Anthem.jpg,https://da70jmtbwpiws.cloudfront.net/Charisma & Quest - Anthem.mp3
WyDoMeSo,AfroBeat,2023,Onesimus,DJ Megi,https://da70jmtbwpiws.cloudfront.net/Onesimus WyDoMeSo.jpg,https://da70jmtbwpiws.cloudfront.net/Onesimus - WyDoMeSo (Prod by DJ Megi).mp3
Aah Inu (Tiyeni),HipHop,2023,Knievel Raps feat Monte Linz,Studio 24 & Darkage,https://da70jmtbwpiws.cloudfront.net/Knievel Raps feat Monte Linz Aah Inu (Tiyeni)-min.jpg,https://da70jmtbwpiws.cloudfront.net/Knievel Raps feat Monte Linz - Aah Inu (Tiyeni) (Prod by Studio 24 & Darkage).mp3
Amen,AfroBeats/Hiphop,2023,Suffix feat Chile One & Eli Njuchi,Suffix & Savage Beats,https://da70jmtbwpiws.cloudfront.net/Suffix feat Chile One & Eli Njuchi Amen.jpg,https://da70jmtbwpiws.cloudfront.net/Suffix feat Chile One & Eli Njuchi - Amen.mp3
Zisankho ,Afro R&B,2023,Harique,Gxfted,https://da70jmtbwpiws.cloudfront.net/Harique Zisankho.jpg,https://da70jmtbwpiws.cloudfront.net/Harique - Zisankho (Prod by Gxfted).mp3
Maphuzo,Drill,2023,Walycris x Nitrix x Mellz,Juxy & MZC,https://da70jmtbwpiws.cloudfront.net/Walycris x Nitrix x Mellz  Maphuzo.jpg,https://da70jmtbwpiws.cloudfront.net/Walycris x Nitrix x Mellz - Maphuzo (Prod by Juxy & MZC).mp3
Wrong Number,Afro DanceHall,2023,Di Badder feat Squawk20Three,Manito,https://da70jmtbwpiws.cloudfront.net/Di Badder featuring Squawk20Three Wrong Number-min.jpg,https://da70jmtbwpiws.cloudfront.net/Di Badder feat Squawk20Three - Wrong Number (Prod by Manito).mp3
